source,target
monosodium glutamate,parmesan cheese
monosodium glutamate,parsley
monosodium glutamate,pepper
monosodium glutamate,phosphoric acid
monosodium glutamate,polysorbate
monosodium glutamate,potassium sorbate
monosodium glutamate,potatoes
monosodium glutamate,rice flour
monosodium glutamate,salt
monosodium glutamate,silicon dioxide
monosodium glutamate,sodium acetate
monosodium glutamate,sodium caseinate
monosodium glutamate,sodium citrate
monosodium glutamate,sodium nitrite
monosodium glutamate,sodium phosphates
monosodium glutamate,sodium stearoyl lactylate
monosodium glutamate,soy flour
monosodium glutamate,soy lecithin
monosodium glutamate,soy sauce
monosodium glutamate,soybean
monosodium glutamate,spices
monosodium glutamate,starch
monosodium glutamate,sugar
monosodium glutamate,titanium dioxide
monosodium glutamate,tocopherols
monosodium glutamate,turmeric
monosodium glutamate,vegetable oil
monosodium glutamate,vinegar
monosodium glutamate,vitamins
monosodium glutamate,water
monosodium glutamate,whey
monosodium glutamate,xanthan gum
monosodium glutamate,yeast
onion,onion
onion,paprika
onion,parmesan cheese
onion,parsley
onion,pecans
onion,pepper
onion,phosphoric acid
onion,polysorbate
onion,pork
onion,potassium chloride
onion,potassium sorbate
onion,potatoes
onion,rice flour
onion,salt
onion,silicon dioxide
onion,sodium benzoate
onion,sodium caseinate
onion,sodium citrate
onion,sodium lactate
onion,sodium phosphates
onion,sodium stearoyl lactylate
onion,soy flour
onion,soy lecithin
onion,soy sauce
onion,soybean
onion,spices
onion,starch
onion,sugar
onion,titanium dioxide
onion,tocopherols
onion,tomato paste
onion,tomato powder
onion,tomatoes
onion,turmeric
onion,vegetable oil
onion,vinegar
onion,vitamins
onion,water
onion,wheat flour
onion,wheat gluten
onion,whey
onion,xanthan gum
onion,yeast
salt,baking powder
salt,salt
salt,seasoning
salt,sesame seeds
salt,silicon dioxide
salt,sodium acetate
salt,sodium benzoate
salt,sodium caseinate
salt,sodium citrate
salt,sodium lactate
salt,sodium nitrite
salt,sodium phosphates
salt,sodium stearoyl lactylate
salt,sorbic acid
salt,sorbitol
salt,soy flour
salt,soy lecithin
salt,soy sauce
salt,soybean
salt,spices
salt,starch
salt,sucralose
salt,sugar
salt,sunflower seeds
salt,thiamine
salt,titanium dioxide
salt,tocopherols
salt,tomato paste
salt,tomato powder
salt,tomatoes
salt,turmeric
salt,vanilla
salt,vegetable oil
salt,vinegar
salt,vitamins
salt,water
salt,wheat flour
salt,wheat gluten
salt,whey
salt,xanthan gum
salt,yeast
salt,zinc oxide
spices,coconut
spices,corn syrup
spices,dextrose
spices,dough conditioners
spices,flour
spices,folic acid
spices,gelatin
spices,guar gum
spices,honey
spices,leavening
spices,malic acid
spices,maltodextrin
spices,milk
spices,molasses
spices,pyridoxine hydrochloride
spices,raisins
spices,riboflavin
spices,salt
spices,sesame seeds
spices,sodium benzoate
spices,soy flour
spices,soy lecithin
spices,soybean
spices,starch
spices,sugar
spices,thiamine
spices,titanium dioxide
spices,tocopherols
spices,tomato paste
spices,tomato powder
spices,tomatoes
spices,turmeric
spices,vanilla
spices,vegetable oil
spices,vinegar
spices,vitamins
spices,water
spices,wheat flour
spices,wheat gluten
spices,whey
spices,xanthan gum
spices,yeast
starch,baking powder
starch,corn syrup
starch,cream
starch,datem
starch,dextrose
starch,diglycerides
starch,dough conditioners
starch,eggs
starch,enzymes
starch,flour
starch,folic acid
starch,fructose
starch,garlic
starch,gelatin
starch,glycerin
starch,guar gum
starch,gum arabic
starch,honey
starch,hydrolyzed soy protein
starch,lactic acid
starch,lactose
starch,leavening
starch,lemon juice concentrate
starch,malic acid
starch,maltodextrin
starch,milk
starch,molasses
starch,mono diglycerides
starch,monosodium glutamate
starch,onion
starch,paprika
starch,peanuts
starch,pectin
starch,phosphoric acid
starch,polysorbate
starch,pork
starch,potassium sorbate
starch,potatoes
starch,pyridoxine hydrochloride
starch,raisins
starch,reduced iron
starch,riboflavin
starch,rice flour
starch,salt
starch,silicon dioxide
starch,sodium benzoate
starch,sodium caseinate
starch,sodium citrate
starch,sodium lactate
starch,sodium phosphates
starch,sodium propionate
starch,sodium stearoyl lactylate
starch,sorbitol
starch,soy flour
starch,soy lecithin
starch,soy sauce
starch,soybean
starch,spices
starch,starch
starch,sugar
starch,thiamine
starch,titanium dioxide
starch,tocopherols
starch,tomato paste
starch,turmeric
starch,vanilla
starch,vegetable oil
starch,vegetable oils
starch,vinegar
starch,vitamins
starch,water
starch,wheat flour
starch,wheat gluten
starch,whey
starch,xanthan gum
starch,yeast
vegetable oil,carrageenan
vegetable oil,cheddar cheese
vegetable oil,chicken
vegetable oil,citric acid
vegetable oil,coconut
vegetable oil,corn syrup
vegetable oil,cream
vegetable oil,dextrose
vegetable oil,diglycerides
vegetable oil,disodium guanylate
vegetable oil,disodium inosinate
vegetable oil,flour
vegetable oil,folic acid
vegetable oil,garlic
vegetable oil,gelatin
vegetable oil,guar gum
vegetable oil,honey
vegetable oil,lactic acid
vegetable oil,leavening
vegetable oil,malic acid
vegetable oil,maltodextrin
vegetable oil,milk
vegetable oil,molasses
vegetable oil,mono diglycerides
vegetable oil,monosodium glutamate
vegetable oil,onion
vegetable oil,paprika
vegetable oil,parmesan cheese
vegetable oil,parsley
vegetable oil,peanut butter
vegetable oil,peanuts
vegetable oil,pepper
vegetable oil,polysorbate
vegetable oil,popcorn
vegetable oil,potassium chloride
vegetable oil,potassium sorbate
vegetable oil,potatoes
vegetable oil,pyridoxine hydrochloride
vegetable oil,raisins
vegetable oil,reduced iron
vegetable oil,riboflavin
vegetable oil,rice flour
vegetable oil,salt
vegetable oil,seasoning
vegetable oil,silicon dioxide
vegetable oil,sodium benzoate
vegetable oil,sodium citrate
vegetable oil,sodium phosphates
vegetable oil,sodium propionate
vegetable oil,sodium stearoyl lactylate
vegetable oil,soy flour
vegetable oil,soy lecithin
vegetable oil,soy sauce
vegetable oil,soybean
vegetable oil,spices
vegetable oil,starch
vegetable oil,sugar
vegetable oil,tbhq
vegetable oil,thiamine
vegetable oil,titanium dioxide
vegetable oil,tomato paste
vegetable oil,tomato powder
vegetable oil,tomatoes
vegetable oil,turmeric
vegetable oil,vanilla
vegetable oil,vegetable oil
vegetable oil,vegetable oils
vegetable oil,vinegar
vegetable oil,vitamins
vegetable oil,water
vegetable oil,wheat flour
vegetable oil,wheat gluten
vegetable oil,whey
vegetable oil,xanthan gum
vegetable oil,yeast
